 format: day,hour,forecast,value  location:84_147 Start : 20250609 
 9,0200,+6,65.000000 
 9,0200,+7,65.000000 
 9,0200,+8,75.000000 
 9,0200,+9,80.000000 
 9,0200,+10,75.000000 
 9,0200,+11,70.000000 
 9,0200,+12,70.000000 
 9,0200,+13,70.000000 
 9,0200,+14,70.000000 
 9,0200,+15,70.000000 
 9,0200,+16,70.000000 
 9,0200,+17,70.000000 
 9,0200,+18,75.000000 
 9,0200,+19,70.000000 
 9,0200,+20,70.000000 
 9,0200,+21,70.000000 
 9,0200,+22,65.000000 
 9,0200,+23,60.000000 
 9,0200,+24,55.000000 
 9,0200,+25,55.000000 
 9,0200,+26,55.000000 
 9,0200,+27,60.000000 
 9,0200,+28,60.000000 
 9,0200,+29,60.000000 
 9,0200,+30,60.000000 
 9,0200,+31,60.000000 
 9,0200,+32,65.000000 
 9,0200,+33,70.000000 
 9,0200,+34,75.000000 
 9,0200,+35,75.000000 
 9,0200,+36,60.000000 
 9,0200,+37,60.000000 
 9,0200,+38,65.000000 
 9,0200,+39,60.000000 
 9,0200,+40,60.000000 
 9,0200,+41,65.000000 
 9,0200,+42,70.000000 
 9,0200,+43,70.000000 
 9,0200,+44,60.000000 
 9,0200,+45,60.000000 
 9,0200,+46,55.000000 
 9,0200,+47,50.000000 
 9,0200,+48,45.000000 
 9,0200,+49,40.000000 
 9,0200,+50,45.000000 
 9,0200,+51,45.000000 
 9,0200,+52,45.000000 
 9,0200,+53,45.000000 
 9,0200,+54,50.000000 
 9,0200,+55,55.000000 
 9,0200,+56,60.000000 
 9,0200,+57,55.000000 
 9,0200,+58,55.000000 
 9,0200,+59,60.000000 
 9,0200,+60,65.000000 
 9,0200,+61,60.000000 
 9,0200,+64,65.000000 
 9,0200,+67,70.000000 
 9,0200,+70,55.000000 
 9,0200,+73,55.000000 
 9,0200,+76,60.000000 
 9,0200,+79,65.000000 
 9,0200,+82,80.000000 
 9,0200,+85,80.000000 
 9,0500,+6,80.000000 
 9,0500,+7,75.000000 
 9,0500,+8,70.000000 
 9,0500,+9,70.000000 
 9,0500,+10,70.000000 
 9,0500,+11,70.000000 
 9,0500,+12,70.000000 
 9,0500,+13,70.000000 
 9,0500,+14,70.000000 
 9,0500,+15,75.000000 
 9,0500,+16,70.000000 
 9,0500,+17,70.000000 
 9,0500,+18,70.000000 
 9,0500,+19,65.000000 
 9,0500,+20,60.000000 
 9,0500,+21,55.000000 
 9,0500,+22,55.000000 
 9,0500,+23,55.000000 
 9,0500,+24,60.000000 
 9,0500,+25,60.000000 
 9,0500,+26,60.000000 
 9,0500,+27,60.000000 
 9,0500,+28,60.000000 
 9,0500,+29,65.000000 
 9,0500,+30,70.000000 
 9,0500,+31,75.000000 
 9,0500,+32,75.000000 
 9,0500,+33,60.000000 
 9,0500,+34,60.000000 
 9,0500,+35,65.000000 
 9,0500,+36,60.000000 
 9,0500,+37,60.000000 
 9,0500,+38,65.000000 
 9,0500,+39,70.000000 
 9,0500,+40,70.000000 
 9,0500,+41,60.000000 
 9,0500,+42,60.000000 
 9,0500,+43,55.000000 
 9,0500,+44,50.000000 
 9,0500,+45,45.000000 
 9,0500,+46,40.000000 
 9,0500,+47,45.000000 
 9,0500,+48,45.000000 
 9,0500,+49,45.000000 
 9,0500,+50,45.000000 
 9,0500,+51,50.000000 
 9,0500,+52,55.000000 
 9,0500,+53,60.000000 
 9,0500,+54,55.000000 
 9,0500,+55,55.000000 
 9,0500,+56,60.000000 
 9,0500,+57,65.000000 
 9,0500,+58,60.000000 
 9,0500,+61,65.000000 
 9,0500,+64,70.000000 
 9,0500,+67,55.000000 
 9,0500,+70,55.000000 
 9,0500,+73,60.000000 
 9,0500,+76,65.000000 
 9,0500,+79,80.000000 
 9,0500,+82,80.000000 
 9,0800,+6,75.000000 
 9,0800,+7,75.000000 
 9,0800,+8,75.000000 
 9,0800,+9,75.000000 
 9,0800,+10,70.000000 
 9,0800,+11,75.000000 
 9,0800,+12,75.000000 
 9,0800,+13,75.000000 
 9,0800,+14,70.000000 
 9,0800,+15,65.000000 
 9,0800,+16,60.000000 
 9,0800,+17,60.000000 
 9,0800,+18,60.000000 
 9,0800,+19,60.000000 
 9,0800,+20,60.000000 
 9,0800,+21,60.000000 
 9,0800,+22,55.000000 
 9,0800,+23,55.000000 
 9,0800,+24,55.000000 
 9,0800,+25,60.000000 
 9,0800,+26,65.000000 
 9,0800,+27,65.000000 
 9,0800,+28,65.000000 
 9,0800,+29,60.000000 
 9,0800,+30,65.000000 
 9,0800,+31,65.000000 
 9,0800,+32,65.000000 
 9,0800,+33,65.000000 
 9,0800,+34,65.000000 
 9,0800,+35,70.000000 
 9,0800,+36,70.000000 
 9,0800,+37,70.000000 
 9,0800,+38,65.000000 
 9,0800,+39,60.000000 
 9,0800,+40,50.000000 
 9,0800,+41,50.000000 
 9,0800,+42,45.000000 
 9,0800,+43,45.000000 
 9,0800,+44,45.000000 
 9,0800,+45,45.000000 
 9,0800,+46,45.000000 
 9,0800,+47,45.000000 
 9,0800,+48,50.000000 
 9,0800,+49,55.000000 
 9,0800,+50,60.000000 
 9,0800,+51,60.000000 
 9,0800,+52,60.000000 
 9,0800,+53,65.000000 
 9,0800,+54,65.000000 
