 format: day,hour,forecast,value  location:89_118 Start : 20250709 
 9,0200,+6,29.000000 
 9,0200,+7,27.000000 
 9,0200,+8,25.000000 
 9,0200,+9,23.000000 
 9,0200,+10,22.000000 
 9,0200,+11,21.000000 
 9,0200,+12,20.000000 
 9,0200,+13,20.000000 
 9,0200,+14,19.000000 
 9,0200,+15,19.000000 
 9,0200,+16,20.000000 
 9,0200,+17,20.000000 
 9,0200,+18,20.000000 
 9,0200,+19,20.000000 
 9,0200,+20,20.000000 
 9,0200,+21,22.000000 
 9,0200,+22,24.000000 
 9,0200,+23,25.000000 
 9,0200,+24,27.000000 
 9,0200,+25,27.000000 
 9,0200,+26,27.000000 
 9,0200,+27,27.000000 
 9,0200,+28,27.000000 
 9,0200,+29,27.000000 
 9,0200,+30,26.000000 
 9,0200,+31,24.000000 
 9,0200,+32,22.000000 
 9,0200,+33,21.000000 
 9,0200,+34,20.000000 
 9,0200,+35,19.000000 
 9,0200,+36,19.000000 
 9,0200,+37,18.000000 
 9,0200,+38,18.000000 
 9,0200,+39,18.000000 
 9,0200,+40,18.000000 
 9,0200,+41,18.000000 
 9,0200,+42,18.000000 
 9,0200,+43,18.000000 
 9,0200,+44,19.000000 
 9,0200,+45,21.000000 
 9,0200,+46,23.000000 
 9,0200,+47,24.000000 
 9,0200,+48,25.000000 
 9,0200,+49,26.000000 
 9,0200,+50,26.000000 
 9,0200,+51,26.000000 
 9,0200,+52,26.000000 
 9,0200,+53,26.000000 
 9,0200,+54,25.000000 
 9,0200,+55,24.000000 
 9,0200,+56,21.000000 
 9,0200,+57,20.000000 
 9,0200,+58,19.000000 
 9,0200,+59,18.000000 
 9,0200,+60,18.000000 
 9,0200,+61,18.000000 
 9,0200,+64,17.000000 
 9,0200,+67,17.000000 
 9,0200,+70,24.000000 
 9,0200,+73,27.000000 
 9,0200,+76,29.000000 
 9,0200,+79,27.000000 
 9,0200,+82,21.000000 
 9,0200,+85,19.000000 
 9,0500,+6,23.000000 
 9,0500,+7,22.000000 
 9,0500,+8,21.000000 
 9,0500,+9,20.000000 
 9,0500,+10,20.000000 
 9,0500,+11,19.000000 
 9,0500,+12,19.000000 
 9,0500,+13,20.000000 
 9,0500,+14,20.000000 
 9,0500,+15,20.000000 
 9,0500,+16,20.000000 
 9,0500,+17,20.000000 
 9,0500,+18,22.000000 
 9,0500,+19,24.000000 
 9,0500,+20,25.000000 
 9,0500,+21,27.000000 
 9,0500,+22,27.000000 
 9,0500,+23,27.000000 
 9,0500,+24,27.000000 
 9,0500,+25,27.000000 
 9,0500,+26,27.000000 
 9,0500,+27,26.000000 
 9,0500,+28,24.000000 
 9,0500,+29,22.000000 
 9,0500,+30,21.000000 
 9,0500,+31,20.000000 
 9,0500,+32,19.000000 
 9,0500,+33,19.000000 
 9,0500,+34,18.000000 
 9,0500,+35,18.000000 
 9,0500,+36,18.000000 
 9,0500,+37,18.000000 
 9,0500,+38,18.000000 
 9,0500,+39,18.000000 
 9,0500,+40,18.000000 
 9,0500,+41,19.000000 
 9,0500,+42,21.000000 
 9,0500,+43,23.000000 
 9,0500,+44,24.000000 
 9,0500,+45,25.000000 
 9,0500,+46,26.000000 
 9,0500,+47,26.000000 
 9,0500,+48,26.000000 
 9,0500,+49,26.000000 
 9,0500,+50,26.000000 
 9,0500,+51,25.000000 
 9,0500,+52,24.000000 
 9,0500,+53,21.000000 
 9,0500,+54,20.000000 
 9,0500,+55,19.000000 
 9,0500,+56,18.000000 
 9,0500,+57,18.000000 
 9,0500,+58,18.000000 
 9,0500,+61,17.000000 
 9,0500,+64,17.000000 
 9,0500,+67,24.000000 
 9,0500,+70,27.000000 
 9,0500,+73,29.000000 
 9,0500,+76,27.000000 
 9,0500,+79,21.000000 
 9,0500,+82,19.000000 
 9,0800,+6,20.000000 
 9,0800,+7,20.000000 
 9,0800,+8,19.000000 
 9,0800,+9,19.000000 
 9,0800,+10,20.000000 
 9,0800,+11,20.000000 
 9,0800,+12,20.000000 
 9,0800,+13,20.000000 
 9,0800,+14,20.000000 
 9,0800,+15,22.000000 
 9,0800,+16,24.000000 
 9,0800,+17,25.000000 
 9,0800,+18,27.000000 
 9,0800,+19,27.000000 
 9,0800,+20,27.000000 
 9,0800,+21,27.000000 
