 format: day,hour,forecast,value  location:59_128 Start : 20250609 
 9,0200,+6,26.000000 
 9,0200,+7,25.000000 
 9,0200,+8,23.000000 
 9,0200,+9,21.000000 
 9,0200,+10,20.000000 
 9,0200,+11,19.000000 
 9,0200,+12,19.000000 
 9,0200,+13,18.000000 
 9,0200,+14,18.000000 
 9,0200,+15,18.000000 
 9,0200,+16,18.000000 
 9,0200,+17,18.000000 
 9,0200,+18,18.000000 
 9,0200,+19,18.000000 
 9,0200,+20,20.000000 
 9,0200,+21,22.000000 
 9,0200,+22,23.000000 
 9,0200,+23,23.000000 
 9,0200,+24,24.000000 
 9,0200,+25,24.000000 
 9,0200,+26,24.000000 
 9,0200,+27,24.000000 
 9,0200,+28,24.000000 
 9,0200,+29,24.000000 
 9,0200,+30,23.000000 
 9,0200,+31,22.000000 
 9,0200,+32,21.000000 
 9,0200,+33,20.000000 
 9,0200,+34,19.000000 
 9,0200,+35,17.000000 
 9,0200,+36,17.000000 
 9,0200,+37,17.000000 
 9,0200,+38,16.000000 
 9,0200,+39,16.000000 
 9,0200,+40,15.000000 
 9,0200,+41,15.000000 
 9,0200,+42,15.000000 
 9,0200,+43,15.000000 
 9,0200,+44,17.000000 
 9,0200,+45,19.000000 
 9,0200,+46,21.000000 
 9,0200,+47,23.000000 
 9,0200,+48,25.000000 
 9,0200,+49,26.000000 
 9,0200,+50,28.000000 
 9,0200,+51,28.000000 
 9,0200,+52,28.000000 
 9,0200,+53,28.000000 
 9,0200,+54,27.000000 
 9,0200,+55,26.000000 
 9,0200,+56,24.000000 
 9,0200,+57,21.000000 
 9,0200,+58,20.000000 
 9,0200,+59,18.000000 
 9,0200,+60,18.000000 
 9,0200,+61,17.000000 
 9,0200,+64,16.000000 
 9,0200,+67,16.000000 
 9,0200,+70,24.000000 
 9,0200,+73,28.000000 
 9,0200,+76,30.000000 
 9,0200,+79,27.000000 
 9,0200,+82,22.000000 
 9,0200,+85,19.000000 
 9,0500,+6,21.000000 
 9,0500,+7,20.000000 
 9,0500,+8,19.000000 
 9,0500,+9,19.000000 
 9,0500,+10,18.000000 
 9,0500,+11,18.000000 
 9,0500,+12,18.000000 
 9,0500,+13,18.000000 
 9,0500,+14,18.000000 
 9,0500,+15,18.000000 
 9,0500,+16,18.000000 
 9,0500,+17,20.000000 
 9,0500,+18,22.000000 
 9,0500,+19,23.000000 
 9,0500,+20,23.000000 
 9,0500,+21,24.000000 
 9,0500,+22,24.000000 
 9,0500,+23,24.000000 
 9,0500,+24,24.000000 
 9,0500,+25,24.000000 
 9,0500,+26,24.000000 
 9,0500,+27,23.000000 
 9,0500,+28,22.000000 
 9,0500,+29,21.000000 
 9,0500,+30,20.000000 
 9,0500,+31,19.000000 
 9,0500,+32,17.000000 
 9,0500,+33,17.000000 
 9,0500,+34,17.000000 
 9,0500,+35,16.000000 
 9,0500,+36,16.000000 
 9,0500,+37,15.000000 
 9,0500,+38,15.000000 
 9,0500,+39,15.000000 
 9,0500,+40,15.000000 
 9,0500,+41,17.000000 
 9,0500,+42,19.000000 
 9,0500,+43,21.000000 
 9,0500,+44,23.000000 
 9,0500,+45,25.000000 
 9,0500,+46,26.000000 
 9,0500,+47,28.000000 
 9,0500,+48,28.000000 
 9,0500,+49,28.000000 
 9,0500,+50,28.000000 
 9,0500,+51,27.000000 
 9,0500,+52,26.000000 
 9,0500,+53,24.000000 
 9,0500,+54,21.000000 
 9,0500,+55,20.000000 
 9,0500,+56,18.000000 
 9,0500,+57,18.000000 
 9,0500,+58,17.000000 
 9,0500,+61,16.000000 
 9,0500,+64,16.000000 
 9,0500,+67,24.000000 
 9,0500,+70,28.000000 
 9,0500,+73,30.000000 
 9,0500,+76,27.000000 
 9,0500,+79,22.000000 
 9,0500,+82,19.000000 
 9,0800,+6,19.000000 
 9,0800,+7,19.000000 
 9,0800,+8,18.000000 
 9,0800,+9,18.000000 
 9,0800,+10,19.000000 
 9,0800,+11,19.000000 
 9,0800,+12,19.000000 
 9,0800,+13,19.000000 
 9,0800,+14,21.000000 
 9,0800,+15,21.000000 
 9,0800,+16,22.000000 
 9,0800,+17,23.000000 
 9,0800,+18,23.000000 
 9,0800,+19,24.000000 
 9,0800,+20,24.000000 
 9,0800,+21,23.000000 
 9,0800,+22,24.000000 
 9,0800,+23,23.000000 
 9,0800,+24,23.000000 
 9,0800,+25,22.000000 
 9,0800,+26,21.000000 
 9,0800,+27,20.000000 
 9,0800,+28,19.000000 
 9,0800,+29,17.000000 
 9,0800,+30,17.000000 
 9,0800,+31,16.000000 
 9,0800,+32,15.000000 
 9,0800,+33,15.000000 
 9,0800,+34,15.000000 
 9,0800,+35,15.000000 
 9,0800,+36,15.000000 
 9,0800,+37,15.000000 
 9,0800,+38,17.000000 
 9,0800,+39,19.000000 
 9,0800,+40,21.000000 
 9,0800,+41,23.000000 
 9,0800,+42,25.000000 
 9,0800,+43,26.000000 
 9,0800,+44,29.000000 
 9,0800,+45,29.000000 
 9,0800,+46,28.000000 
 9,0800,+47,27.000000 
 9,0800,+48,27.000000 
 9,0800,+49,26.000000 
 9,0800,+50,23.000000 
 9,0800,+51,21.000000 
 9,0800,+52,19.000000 
 9,0800,+53,18.000000 
 9,0800,+54,18.000000 
 9,0800,+55,17.000000 
 9,0800,+56,16.000000 
 9,0800,+57,16.000000 
 9,0800,+58,17.000000 
 9,0800,+59,17.000000 
 9,0800,+60,17.000000 
 9,0800,+61,17.000000 
 9,0800,+62,18.000000 
 9,0800,+63,21.000000 
 9,0800,+64,24.000000 
 9,0800,+65,25.000000 
 9,0800,+66,27.000000 
 9,0800,+67,28.000000 
 9,0800,+68,30.000000 
 9,0800,+69,30.000000 
 9,0800,+70,29.000000 
 9,0800,+71,29.000000 
 9,0800,+72,28.000000 
 9,0800,+73,27.000000 
 9,0800,+74,25.000000 
 9,0800,+75,23.000000 
 9,0800,+76,22.000000 
 9,0800,+77,20.000000 
 9,0800,+78,20.000000 
 9,0800,+79,19.000000 
 9,0800,+82,18.000000 
 9,0800,+85,18.000000 
 9,0800,+88,24.000000 
 9,0800,+91,28.000000 
 9,0800,+94,28.000000 
 9,0800,+97,27.000000 
 9,0800,+100,24.000000 
 9,0800,+103,22.000000 
 9,1100,+6,18.000000 
 9,1100,+7,19.000000 
 9,1100,+8,19.000000 
 9,1100,+9,19.000000 
 9,1100,+10,19.000000 
 9,1100,+11,21.000000 
 9,1100,+12,21.000000 
 9,1100,+13,22.000000 
 9,1100,+14,23.000000 
 9,1100,+15,23.000000 
 9,1100,+16,24.000000 
 9,1100,+17,24.000000 
 9,1100,+18,23.000000 
 9,1100,+19,24.000000 
 9,1100,+20,23.000000 
 9,1100,+21,23.000000 
 9,1100,+22,22.000000 
 9,1100,+23,21.000000 
 9,1100,+24,20.000000 
 9,1100,+25,19.000000 
 9,1100,+26,17.000000 
 9,1100,+27,17.000000 
 9,1100,+28,16.000000 
 9,1100,+29,15.000000 
 9,1100,+30,15.000000 
 9,1100,+31,15.000000 
 9,1100,+32,15.000000 
 9,1100,+33,15.000000 
 9,1100,+34,15.000000 
 9,1100,+35,17.000000 
 9,1100,+36,19.000000 
 9,1100,+37,21.000000 
 9,1100,+38,23.000000 
 9,1100,+39,25.000000 
 9,1100,+40,26.000000 
 9,1100,+41,29.000000 
 9,1100,+42,29.000000 
 9,1100,+43,28.000000 
 9,1100,+44,27.000000 
 9,1100,+45,27.000000 
 9,1100,+46,26.000000 
 9,1100,+47,23.000000 
 9,1100,+48,21.000000 
 9,1100,+49,19.000000 
 9,1100,+50,18.000000 
 9,1100,+51,18.000000 
 9,1100,+52,17.000000 
 9,1100,+53,16.000000 
 9,1100,+54,16.000000 
 9,1100,+55,17.000000 
 9,1100,+56,17.000000 
 9,1100,+57,17.000000 
 9,1100,+58,17.000000 
 9,1100,+59,18.000000 
 9,1100,+60,21.000000 
 9,1100,+61,24.000000 
 9,1100,+62,25.000000 
 9,1100,+63,27.000000 
 9,1100,+64,28.000000 
 9,1100,+65,30.000000 
 9,1100,+66,30.000000 
 9,1100,+67,29.000000 
 9,1100,+68,29.000000 
 9,1100,+69,28.000000 
 9,1100,+70,27.000000 
 9,1100,+71,25.000000 
 9,1100,+72,23.000000 
 9,1100,+73,22.000000 
 9,1100,+74,20.000000 
 9,1100,+75,20.000000 
 9,1100,+76,19.000000 
 9,1100,+79,18.000000 
 9,1100,+82,18.000000 
 9,1100,+85,24.000000 
 9,1100,+88,28.000000 
 9,1100,+91,28.000000 
 9,1100,+94,27.000000 
 9,1100,+97,24.000000 
 9,1100,+100,22.000000 
 9,1400,+6,19.000000 
 9,1400,+7,19.000000 
 9,1400,+8,21.000000 
 9,1400,+9,21.000000 
 9,1400,+10,22.000000 
 9,1400,+11,23.000000 
 9,1400,+12,23.000000 
 9,1400,+13,24.000000 
 9,1400,+14,24.000000 
 9,1400,+15,23.000000 
 9,1400,+16,24.000000 
 9,1400,+17,23.000000 
 9,1400,+18,23.000000 
 9,1400,+19,22.000000 
 9,1400,+20,21.000000 
 9,1400,+21,20.000000 
 9,1400,+22,19.000000 
 9,1400,+23,17.000000 
 9,1400,+24,17.000000 
 9,1400,+25,16.000000 
 9,1400,+26,15.000000 
 9,1400,+27,15.000000 
 9,1400,+28,15.000000 
 9,1400,+29,15.000000 
 9,1400,+30,15.000000 
 9,1400,+31,15.000000 
 9,1400,+32,17.000000 
 9,1400,+33,19.000000 
 9,1400,+34,21.000000 
 9,1400,+35,23.000000 
 9,1400,+36,25.000000 
 9,1400,+37,26.000000 
 9,1400,+38,29.000000 
 9,1400,+39,29.000000 
 9,1400,+40,28.000000 
 9,1400,+41,27.000000 
 9,1400,+42,27.000000 
 9,1400,+43,26.000000 
 9,1400,+44,23.000000 
 9,1400,+45,21.000000 
 9,1400,+46,19.000000 
 9,1400,+47,18.000000 
 9,1400,+48,18.000000 
 9,1400,+49,17.000000 
 9,1400,+50,16.000000 
 9,1400,+51,16.000000 
 9,1400,+52,17.000000 
 9,1400,+53,17.000000 
 9,1400,+54,17.000000 
 9,1400,+55,17.000000 
 9,1400,+56,18.000000 
 9,1400,+57,21.000000 
 9,1400,+58,24.000000 
 9,1400,+59,25.000000 
 9,1400,+60,27.000000 
 9,1400,+61,28.000000 
 9,1400,+62,30.000000 
 9,1400,+63,30.000000 
 9,1400,+64,29.000000 
 9,1400,+65,29.000000 
 9,1400,+66,28.000000 
 9,1400,+67,27.000000 
 9,1400,+68,25.000000 
 9,1400,+69,23.000000 
 9,1400,+70,22.000000 
 9,1400,+71,20.000000 
 9,1400,+72,20.000000 
 9,1400,+73,19.000000 
 9,1400,+76,18.000000 
 9,1400,+79,18.000000 
 9,1400,+82,24.000000 
 9,1400,+85,28.000000 
 9,1400,+88,28.000000 
 9,1400,+91,27.000000 
 9,1400,+94,24.000000 
 9,1400,+97,22.000000 
 9,1700,+6,21.000000 
 9,1700,+7,22.000000 
 9,1700,+8,23.000000 
 9,1700,+9,23.000000 
 9,1700,+10,24.000000 
 9,1700,+11,24.000000 
 9,1700,+12,23.000000 
 9,1700,+13,24.000000 
 9,1700,+14,23.000000 
 9,1700,+15,23.000000 
 9,1700,+16,22.000000 
 9,1700,+17,21.000000 
 9,1700,+18,20.000000 
 9,1700,+19,19.000000 
 9,1700,+20,17.000000 
 9,1700,+21,17.000000 
 9,1700,+22,16.000000 
 9,1700,+23,15.000000 
 9,1700,+24,15.000000 
 9,1700,+25,15.000000 
 9,1700,+26,15.000000 
 9,1700,+27,15.000000 
 9,1700,+28,15.000000 
 9,1700,+29,17.000000 
 9,1700,+30,19.000000 
 9,1700,+31,21.000000 
 9,1700,+32,23.000000 
 9,1700,+33,25.000000 
 9,1700,+34,26.000000 
 9,1700,+35,29.000000 
 9,1700,+36,29.000000 
 9,1700,+37,28.000000 
 9,1700,+38,27.000000 
 9,1700,+39,27.000000 
 9,1700,+40,26.000000 
 9,1700,+41,23.000000 
 9,1700,+42,21.000000 
 9,1700,+43,19.000000 
 9,1700,+44,18.000000 
 9,1700,+45,18.000000 
 9,1700,+46,17.000000 
 9,1700,+47,16.000000 
 9,1700,+48,16.000000 
 9,1700,+49,17.000000 
 9,1700,+50,17.000000 
 9,1700,+51,17.000000 
 9,1700,+52,17.000000 
 9,1700,+53,18.000000 
 9,1700,+54,21.000000 
 9,1700,+55,24.000000 
 9,1700,+56,25.000000 
 9,1700,+57,27.000000 
 9,1700,+58,28.000000 
 9,1700,+59,30.000000 
 9,1700,+60,30.000000 
 9,1700,+61,29.000000 
 9,1700,+62,29.000000 
 9,1700,+63,28.000000 
 9,1700,+64,27.000000 
 9,1700,+65,25.000000 
 9,1700,+66,23.000000 
 9,1700,+67,22.000000 
 9,1700,+68,20.000000 
 9,1700,+69,20.000000 
 9,1700,+70,19.000000 
 9,1700,+73,18.000000 
 9,1700,+76,18.000000 
 9,1700,+79,24.000000 
 9,1700,+82,28.000000 
 9,1700,+85,28.000000 
 9,1700,+88,27.000000 
 9,1700,+91,24.000000 
 9,1700,+94,22.000000 
 9,2000,+6,22.000000 
 9,2000,+7,22.000000 
 9,2000,+8,23.000000 
 9,2000,+9,23.000000 
 9,2000,+10,24.000000 
 9,2000,+11,24.000000 
 9,2000,+12,24.000000 
 9,2000,+13,23.000000 
 9,2000,+14,21.000000 
 9,2000,+15,19.000000 
 9,2000,+16,18.000000 
 9,2000,+17,17.000000 
 9,2000,+18,16.000000 
 9,2000,+19,15.000000 
 9,2000,+20,14.000000 
 9,2000,+21,14.000000 
 9,2000,+22,15.000000 
 9,2000,+23,15.000000 
 9,2000,+24,15.000000 
 9,2000,+25,15.000000 
 9,2000,+26,17.000000 
 9,2000,+27,19.000000 
 9,2000,+28,21.000000 
 9,2000,+29,23.000000 
 9,2000,+30,25.000000 
 9,2000,+31,26.000000 
 9,2000,+32,26.000000 
 9,2000,+33,27.000000 
 9,2000,+34,27.000000 
 9,2000,+35,27.000000 
 9,2000,+36,26.000000 
