 format: day,hour,forecast,value location:92_132 Start : 20250709 
 9,0030,+1,0.000000 
 9,0030,+2,0.000000 
 9,0030,+3,0.000000 
 9,0030,+4,0.000000 
 9,0030,+5,0.000000 
 9,0030,+6,0.000000 
 9,0130,+1,0.000000 
 9,0130,+2,0.000000 
 9,0130,+3,0.000000 
 9,0130,+4,0.000000 
 9,0130,+5,0.000000 
 9,0130,+6,0.000000 
 9,0230,+1,0.000000 
 9,0230,+2,0.000000 
 9,0230,+3,0.000000 
 9,0230,+4,0.000000 
 9,0230,+5,0.000000 
 9,0230,+6,0.000000 
 9,0330,+1,0.000000 
 9,0330,+2,0.000000 
 9,0330,+3,0.000000 
 9,0330,+4,0.000000 
 9,0330,+5,0.000000 
 9,0330,+6,0.000000 
 9,0430,+1,0.000000 
 9,0430,+2,0.000000 
 9,0430,+3,0.000000 
 9,0430,+4,0.000000 
 9,0430,+5,0.000000 
 9,0430,+6,0.000000 
 9,0530,+1,0.000000 
 9,0530,+2,0.000000 
 9,0530,+3,0.000000 
 9,0530,+4,0.000000 
 9,0530,+5,0.000000 
 9,0530,+6,0.000000 
 9,0630,+1,0.000000 
 9,0630,+2,0.000000 
 9,0630,+3,0.000000 
 9,0630,+4,0.000000 
 9,0630,+5,0.000000 
 9,0630,+6,0.000000 
 9,0730,+1,0.000000 
 9,0730,+2,0.000000 
 9,0730,+3,0.000000 
 9,0730,+4,0.000000 
 9,0730,+5,0.000000 
 9,0730,+6,0.000000 
 9,0830,+1,0.000000 
 9,0830,+2,0.000000 
 9,0830,+3,0.000000 
 9,0830,+4,0.000000 
 9,0830,+5,0.000000 
 9,0830,+6,0.000000 
 9,0930,+1,0.000000 
 9,0930,+2,0.000000 
 9,0930,+3,0.000000 
 9,0930,+4,0.000000 
 9,0930,+5,0.000000 
 9,0930,+6,0.000000 
 9,1030,+1,0.000000 
 9,1030,+2,0.000000 
 9,1030,+3,0.000000 
 9,1030,+4,0.000000 
 9,1030,+5,0.000000 
 9,1030,+6,0.000000 
 9,1130,+1,0.000000 
 9,1130,+2,0.000000 
 9,1130,+3,0.000000 
 9,1130,+4,0.000000 
 9,1130,+5,0.000000 
 9,1130,+6,0.000000 
 9,1230,+1,0.000000 
 9,1230,+2,0.000000 
 9,1230,+3,0.000000 
 9,1230,+4,0.000000 
 9,1230,+5,0.000000 
 9,1230,+6,0.000000 
 9,1330,+1,0.000000 
 9,1330,+2,0.000000 
 9,1330,+3,0.000000 
 9,1330,+4,0.000000 
 9,1330,+5,0.000000 
 9,1330,+6,0.000000 
 9,1430,+1,0.000000 
 9,1430,+2,0.000000 
 9,1430,+3,0.000000 
 9,1430,+4,0.000000 
 9,1430,+5,0.000000 
 9,1430,+6,0.000000 
 9,1530,+1,0.000000 
 9,1530,+2,0.000000 
 9,1530,+3,0.000000 
 9,1530,+4,0.000000 
 9,1530,+5,0.000000 
 9,1530,+6,0.000000 
 9,1630,+1,0.000000 
